macPrefix,vendor,OS_family
FC:2A:9C,"Apple, Inc.",macos
30:D9:D9,"Apple, Inc.",macos
60:30:D4,"Apple, Inc.",macos
94:BF:2D,"Apple, Inc.",macos
C4:98:80,"Apple, Inc.",macos
E0:33:8E,"Apple, Inc.",macos
68:FE:F7,"Apple, Inc.",macos
BC:E1:43,"Apple, Inc.",macos
64:5A:ED,"Apple, Inc.",macos
D4:61:DA,"Apple, Inc.",macos
C8:D0:83,"Apple, Inc.",macos
88:E9:FE,"Apple, Inc.",macos
88:AE:07,"Apple, Inc.",macos
5C:09:47,"Apple, Inc.",macos
38:89:2C,"Apple, Inc.",macos
40:83:1D,"Apple, Inc.",macos
50:BC:96,"Apple, Inc.",macos
9C:E6:5E,"Apple, Inc.",macos
90:DD:5D,"Apple, Inc.",macos
08:F6:9C,"Apple, Inc.",macos
20:47:DA,Xiaomi Communications Co Ltd,android
80:35:C1,Xiaomi Communications Co Ltd,android
14:20:5E,"Apple, Inc.",macos
5C:1D:D9,"Apple, Inc.",macos
18:F1:D8,"Apple, Inc.",macos
F8:6F:C1,"Apple, Inc.",macos
F0:99:B6,"Apple, Inc.",macos
DC:D3:A2,"Apple, Inc.",macos
10:94:BB,"Apple, Inc.",macos
F0:18:98,"Apple, Inc.",macos
48:A9:1C,"Apple, Inc.",macos
A0:56:F3,"Apple, Inc.",macos
54:99:63,"Apple, Inc.",macos
28:FF:3C,"Apple, Inc.",macos
64:70:33,"Apple, Inc.",macos
84:68:78,"Apple, Inc.",macos
74:9E:AF,"Apple, Inc.",macos
B8:41:A4,"Apple, Inc.",macos
F8:95:EA,"Apple, Inc.",macos
50:A6:7F,"Apple, Inc.",macos
50:A0:09,Xiaomi Communications Co Ltd,android
9C:E8:2B,"vivo Mobile Communication Co., Ltd.",android
D8:32:E3,Xiaomi Communications Co Ltd,android
44:66:FC,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
94:87:E0,Xiaomi Communications Co Ltd,android
78:36:CC,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
4C:C0:0A,"vivo Mobile Communication Co., Ltd.",android
64:A2:F9,"OnePlus Technology (Shenzhen) Co., Ltd",android
20:A6:0C,Xiaomi Communications Co Ltd,android
7C:6B:9C,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
1C:C3:EB,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
08:25:25,Xiaomi Communications Co Ltd,android
F4:60:E2,Xiaomi Communications Co Ltd,android
20:F7:7C,"vivo Mobile Communication Co., Ltd.",android
E0:62:67,Xiaomi Communications Co Ltd,android
70:B7:AA,"vivo Mobile Communication Co., Ltd.",android
48:2C:A0,Xiaomi Communications Co Ltd,android
18:D7:17,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
B4:CB:57,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
7C:03:AB,Xiaomi Communications Co Ltd,android
14:C6:97,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
E4:DB:6D,"Beijing Xiaomi Electronics Co., Ltd.",android
9C:0C:DF,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
28:31:66,"vivo Mobile Communication Co., Ltd.",android
18:01:F1,Xiaomi Communications Co Ltd,android
88:F7:BF,"vivo Mobile Communication Co., Ltd.",android
